,Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
0,Viličarist (m/ž),13.03.2021,Logatec,Trenkwalder d.o.o.,https://www.deloglasnik.si/Zaposlitev/279683/Vilicarist-mz/,"  - prevzem, skladiščenje in odprema blaga - nakladanje in razkladanje blaga z viličarjem - sortiranje in pospravljanje blaga - skrb za brezhibnost in čistočo viličarja",11.02.2021,Osrednjeslovenska,deloglasnik.si
1,Voznik tovornjaka (m/ž),17.03.2021,Ptuj,"Zemeljska dela, Ervin Kos, s.p.",https://www.deloglasnik.si/Zaposlitev/279873/Voznik-tovornjaka-mz/,  Razvoz s kiperjem.,15.02.2021,Podravska,deloglasnik.si
2,OBDELOVALEC KOVIN II V OBRATU STRARI TRG - M/Ž,21. 02. 2021,SLOVENSKE KONJICE,UNIOR KOVAŠKA INDUSTRIJA D.D.,https://www.iskanjedela.si/search-jobs?jobId=2653081&RECENCY=3DAYSAGO&STATE=Jugovzhodna%20Slovenija,"IZVAJANJE NALOG OBDELAVE KOVIN, NASTAVLJANJE IN DELO NA CNC OBDELOVALNIH STROJIH, IZVAJANJE AVTOKONTROLE IN CPV ",11.02.2021,Jugovzhodna Slovenija,iskanjedela.si
3,Poslovni asistent (m/ž),/,Ljubljana,PRO PLUS d.o.o.,https://www.mojedelo.com/poslovni-asistent-mz/d-516407,"Odgovornosti: urejanje dokumentacije in vsa administrativna dela v oddelku marketinga (priprava dokumentacije in poročil za HR, obračun plač, finance in računovodstvo), vodenje obdobnih poročil za oddelek..",15.2.2021,Osrednjeslovenska,mojedelo.com
4,ZIDAR - M/Ž,29. 01. 2021,MURSKA SOBOTA,GRADBENIŠTVO BENCAK UROŠ BENCAK s.p.,https://www.iskanjedela.si/search-jobs?jobId=2648049&STATE=Pomurska,VSA ZIDARSKA DELA ,26.01.2021,Pomurska,iskanjedela.si
5,"Projektni inženir (m/ž) za področje proizvodne informatike (MES sistemi, Industrija 4.0, IoT)",/,Ljubljana,Metronik d.o.o.,https://www.mojedelo.com/projektni-inzenir-mz-za-podrocje-proizvodne-informatike-mes-sistemi-industrija-40-iot/d-516607,"Opis delovnega mesta: analiza sistemov in zajem uporabniških zahtev, implementacija in vzdrževanje IT rešitev, sodelovanje z razvojno ekipo,...",16.2.2021,Osrednjeslovenska,mojedelo.com
6,Programer industrijskih robotov,/,Tujina,Ise Industries.Si d.o.o.,https://www.mojedelo.com/programer-industrijskih-robotov/d-515323,"Pričakujemo: Zaključeno vsaj VI. Stopnjo izobrazbe smer elektro-tehnika, mehatronika oz. industrijska mehanizacija, vsaj 2 leti izkušenj na podobnih delovnih mestih, pripravljenost na delo v tujini..",3.2.2021,Tujina,mojedelo.com
7,Vzdrževalec (m/ž),05.03.2021,Semič,KOROTAJ d.o.o.,https://www.deloglasnik.si/Zaposlitev/279411/Vzdrzevalec-mz/,"  Znano in uspešno podjetje s poslovno enoto v Semiču vabi k sebi novega sodelavca za delovno mesto:   Vzdrževalec (m/ž), ki bi bili kos izzivom in nalogam trenutnim situacijam, ter se zna prilagajati za skupni uspeh.  Naloge in odgovornosti: - op...",03.02.2021,Jugovzhodna Slovenija,deloglasnik.si
8,ČISTILEC - M/Ž,12. 03. 2021,LJUBLJANA,"SINTAL-EKO DRUŽBA ZA ČIŠČENJE PROSTOROV, UREJANJE OKOLJA IN TRGOVINO D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2642517&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,ČIŠČENJE POSLOVNIH PROSTOROV. ,10.02.2021,Osrednjeslovenska,iskanjedela.si
9,KUHARSKI POMOČNIK - M/Ž,10. 02. 2021,MARIBOR,VRTEC JOŽICE FLANDER MARIBOR,https://www.iskanjedela.si/search-jobs?jobId=2651429&RECENCY=3DAYSAGO&STATE=Podravska,POMOČ PRI KUHARSKIH OPRAVILIH ,04.02.2021,Podravska,iskanjedela.si
10,Serviser tovornih vozil (m/ž),/,Gorenjska,Personal center d.o.o.,https://www.mojedelo.com/serviser-tovornih-vozil-mz/d-516624,"Vaše odgovornosti bodo: pregled tovornih vozil na sedežu podjetja, servisiranje tovornih vozil, ostala dela po naročilu nadrejenih.",16.2.2021,Gorenjska,mojedelo.com
11,"REFERENT ZA SISTEM KAKOVOSTI, OKOLJE IN VARNO DELO - M/Ž",12. 02. 2021,MARIBOR,"American & Efird (A&E Europe), sukanci d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2651382&RECENCY=3DAYSAGO&STATE=Podravska,"PREVERJANJE, PISANJE IN DISTRIBUCIJA INTERNIH PREDPISOV, POŠILJANJE MATERIALA V ZUNANJE LABORATORIJE (ÖKO-TEX, ORGANOTIN IPD.), PREVERJANJE IN ISKANJE REŠITEV ZA PARAMETRE ODPADNE VODE, OZAVEŠČANJE DELAVCEV O LOČEVANJU ODPADKOV IN VPLIVU NA OKOLJE...",04.02.2021,Podravska,iskanjedela.si
12,VODOINŠTALATER - M/Ž,20. 03. 2021,KRŠKO,"MONTEURO, projektiranje, proizvodnja in montaža, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2655533&RECENCY=TODAY&STATE=Posavska,"NAPELJAVA VODOVODNEGA SISTEMA, DELO V TUJINI ",18.02.2021,Posavska,iskanjedela.si
13,MEDICINSKA SESTRA - VODJA TIMA - M/Ž,21. 02. 2021,VRHNIKA,DOM UPOKOJENCEV VRHNIKA,https://www.iskanjedela.si/search-jobs?jobId=2653315&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"USKLAJEVANJE, VODENJE IN NADZIRANJE DELA ZAPOSLENIH V DELOVNI ENOTI, VKLJUČEVAJE V PROGRAME IN SPREMLJANJE REZULTATOV, SODELOVANJE Z ENOTAMI ZNOTRAJ DOMA IN PRI REŠEVANJU KONFLIKTNIH SITUACIJ, UGOTAVLJANJE POTREB PO REDNEM INVESTICIJSKEM VZDRŽEVAN...",11.02.2021,Osrednjeslovenska,iskanjedela.si
14,Inženir za kakovost m/ž,4.3.2021,"Kranj, Poslovni prostori in okolica",LVL d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/inzenir-za-kakovost-mz-753374-753374/,V podjetju LVL d.o.o. zaposlimo Inženirja za kakovost m/ž.,2.2.2021,Gorenjska,optius.com
15,Avtomehanik / avtoklepar (m/ž),04.03.2021,Jesenice,Vrba d.o.o.,https://www.deloglasnik.si/Zaposlitev/279267/Avtomehanik-avtoklepar-mz/,/,02.02.2021,Gorenjska,deloglasnik.si
16,Urejevalec na robotizirani brizgalni liniji (m/ž) - več prostih mest,21.2.2021,Idrija,Kolektor Sikom d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/urejevalec-na-robotizirani-brizgalni-liniji-mz-vec-prostih-mest-752958-752958/,"Kolektor je razvojno in tržno usmerjen, inovativen, finančno stabilen ter poslovno uspešen koncern, ki z reševanjem tehnoloških izzivov prihodnosti in iskanjem novih poslovnih priložnosti izpolnjuje pričakovanja lastnikov, poslovnih partnerjev, za...",28.1.2021,Primorsko-notranjska,optius.com
17,Električar (m/ž),20.02.2021,Nemčija,"PAROS MONT, kovinarstvo in montaža, d.o.o.",https://www.deloglasnik.si/Zaposlitev/278800/Elektricar-mz/,"  Iščeta se 2 kandidata/ki za delovno mesto:  Električar (m/ž).  Opis del in nalog: - opravljanje električarskih del na hišnih inštalacijah, dolgotrajna delovišča",21.01.2021,Tujina,deloglasnik.si
18,DIPLOMIRANI VZGOJITELJ PREDŠOLSKIH OTROK - M/Ž,16. 02. 2021,NOVO MESTO,OSNOVNA ŠOLA ŽUŽEMBERK,https://www.iskanjedela.si/search-jobs?jobId=2653478&RECENCY=3DAYSAGO&STATE=Jugovzhodna%20Slovenija,DIPLOMIRANI VZGOJITELJ PREDŠOLSKIH OTROK ,11.02.2021,Jugovzhodna Slovenija,iskanjedela.si
19,Analitik za optimalno delovanje sončnih elektrarn (m/ž),19.02.2021,Prebold,"Bisol Group, d.o.o.",https://www.deloglasnik.si/Zaposlitev/278716/Analitik-za-optimalno-delovanje-soncnih-elektrarn-mz/,  Družba BISOL Group d.o.o. zaradi širitve obsega poslovanja objavlja prosto delovno mesto:  Analitik za optimalno delovanje sončnih elektrarn (m/ž).  Glavne naloge in odgovornosti: - kontrola optimalnega delovanja sončnih elektrarn in njenih komp...,20.01.2021,Savinjska,deloglasnik.si
20,KOMERCIALIST - M/Ž,21. 02. 2021,TREBNJE,"RS1, proizvodnja in trgovina d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2647520&STATE=Jugovzhodna%20Slovenija,"IZMERE OKEN IN VRAT NA TERENU, IZDELAVA PONUDB, PRIDOBITEV POSLA... ",22.01.2021,Jugovzhodna Slovenija,iskanjedela.si
21,"Računalničar, informatik (m/ž)",20.3.2021,Ljubljana,Shift integracije d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/racunalnicar-informatik-mz-755394-755394/,"Shift integracije d.o.o. zaposli novega sodelavca na delovno mesto računalničar, informatik.",18.2.2021,Osrednjeslovenska,optius.com
22,WEB RAZVIJALEC M/Ž - M/Ž,24. 02. 2021,KOPER,"KOKAPEK d.o.o.; KOKAPEK d.o.o., PE Koper",https://www.iskanjedela.si/search-jobs?jobId=2652332&RECENCY=3DAYSAGO&STATE=Obalno-kra%C5%A1ka,programer v razvojnem podjetju ,09.02.2021,Obalno-kraška,iskanjedela.si
23,Varilec za plamensko (avtogeno) varjenje (m/ž),25.2.2021,Avstrija,"ISE INDUSTRIES.SI, d.o.o.",https://www.optius.com/iskalci/prosta-delovna-mesta/varilec-za-plamensko-avtogeno-varjenje-mz-752669-752669/,Za delo na terenu v Nemčiji iščemo varilce za avtogeno/plamensko varjenje (postopek 311).,26.1.2021,Gorenjska,optius.com
24,E037026 DIPLOMIRANA MEDICINSKA SESTRA V SPECIALISTIČNI AMBULANTI NA ODDELKU ZA GINEK. IN POROD. - M/Ž,10. 02. 2021,IZOLA,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,https://www.iskanjedela.si/search-jobs?jobId=2621535&STATE=Obalno-kra%C5%A1ka,OPRAVLJANJE DEL IN NALOG DIPLOMIRANE MEDICINSKE SESTRE V SPECIALISTIČNI AMBULANTI. SODELOVANJE PRI SPREJEMANJU PACIENTOV. OBRAVNAVA PACIENTA SKLADNO S STROKOVNIMI SMERNICAMI IN NAVODILI ZA DELO. IZVAJANJE ZDRAVSTVENE NEGE PO PROCESNI METODI DELA N...,26.01.2021,Obalno-kraška,iskanjedela.si
25,FASADER - M/Ž,08. 02. 2021,LJUBLJANA,"PROMOBILE GRADBENI INŽENIRING, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2639740&STATE=Osrednjeslovenska,FASADERSKA DELA ,25.01.2021,Osrednjeslovenska,iskanjedela.si
26,"SPLETNI RAZVIJALEC / PROGRAMER (PHP, HTML5, JAVASCRIPT (JQUERY) - M/Ž",24. 02. 2021,MARIBOR,"KOMPETENTNOST, družba za spletni marketing in druge storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2650523&RECENCY=3DAYSAGO&STATE=Pomurska,"IZDELAVA IN VZDRŽEVANJE SPLETNIH/ TRGOVIN STRANI, RAZVOJ SPLETNIH REŠITEV (API POVEZAVE, RAZVOJ ORODIJ ZA ISKANJE IZDELKOV...). ",10.02.2021,Pomurska,iskanjedela.si
27,Električar (m/ž),07.03.2021,Maribor,"A.B., gostinstvo, trgovina, posredništvo in druge storitve, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279543/Elektricar-mz/,  Monter elektro polic.,05.02.2021,Podravska,deloglasnik.si
28,Zavarovalni zastopnik ali pomožni zavarovalni zastopnik (m/ž) ,24.2.2021,območje Murske Sobote,"Zavarovalnica Triglav, d.d.",https://www.optius.com/iskalci/prosta-delovna-mesta/zavarovalni-zastopnik-ali-pomozni-zavarovalni-zastopnik-mz-754609-754609/,/,12.2.2021,Pomurska,optius.com
29,J026004 POSLOVNI SEKRETAR VI - M/Ž,27. 02. 2021,LJUBLJANA,ZDRAVSTVENI DOM LJUBLJANA,https://www.iskanjedela.si/search-jobs?jobId=2656247&RECENCY=TODAY&STATE=Osrednjeslovenska,"-KOORDINIRANJE POSLOVNIH STIKOV, -OPRAVLJANJE ZAHTEVNEJŠIH ADMINISTRATIVNO-TEHNIČNIH OPRAVIL, -VODENJE DOKUMENTACIJE IN EVIDENC, -NEPOSREDNA POMOČ PRI INTERNEM USKLAJEVANJU ORGANIZACIJSKIH ENOT, -IZVAJANJE NALOG BLAGAJNIŠKEGA POSLOVANJA IN OBRAČUN...",19.02.2021,Osrednjeslovenska,iskanjedela.si
30,ORGANIZATOR IZOBRAŽEVANJA ODRASLIH - M/Ž,11. 02. 2021,CELJE,LJUDSKA UNIVERZA CELJE,https://www.iskanjedela.si/search-jobs?jobId=2652047&RECENCY=3DAYSAGO&STATE=Savinjska,"ORGANIZACIJA IZOBRAŽEVALNEGA PROCESA, DELO Z RANLJIVIMI CILJNIMI SKUPINAMI, SVETOVANJE, DELO NA PROJEKTIH... ZAHTEVANA JE PEDAGOŠKO-ANDRAGOŠKA IZOBRAZBA IN STROKOVNI IZPIT IZ PODROČJA VZGOJE IN IZOBRAŽEVANJA. ",05.02.2021,Savinjska,iskanjedela.si
31,Vodja strežnega osebja (m/ž),28.02.2021,Maribor,"NANA GOSTINSTVO, gostinstvo, catering in trgovina, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279982/Vodja-streznega-osebja-mz/,"  - vodi poslovanje, sestavlja aranžmaje - načrtuje animacijske dogodke in je odgovoren za dobro gospodarjenje gostinskega lokala - sestavljanje jedilnika in sodelovanje pri oskrbi kuhinje s surovinami in drugim materialom - pregled nad delom nata...",17.02.2021,Podravska,deloglasnik.si
32,SAMOSTOJNI KNJIGOVODJA/RAČUNOVODJA - M/Ž,11. 02. 2021,DOMŽALE,"SERVIS PODLESNIK, storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2647207&STATE=Osrednjeslovenska,"DELO V RAČUNOVODSKEM SERVISU: VODENJE POSLOVNIH KNJIG ZA PODJETJA, SAMOSTOJNE PODJETNIKE, DRUŠTVA KNJIŽENJE OBRAČUN DDV OBRAČUN IN OBDELAVA PLAČ , RAZNA POROČILA, VODENJE EVIDENC OSNOVNIH SREDSTEV, PRIPRAVA PLAČILNIH IN POTNIH NALOGOV, PRIPRAVA ZA...",22.01.2021,Osrednjeslovenska,iskanjedela.si
33,KUHARSKI POMOČNIK II - M/Ž,27. 01. 2021,LENDAVA,VRTEC LENDAVA LENDVAI OVODA,https://www.iskanjedela.si/search-jobs?jobId=2647465&STATE=Pomurska,"SODELOVANJE PRI ORGANIZACIJI IN IZVAJANJU DNEVNE KOMPLETNE PRIPRAVE IN PORCIONIRANJA TOPLIH, HLADNIH IN DIETNIH OBROKOV ZA VRTEC, NA PODLAGI STROKOVNIH ZAHTEV IN NAVODIL, ... ",22.01.2021,Pomurska,iskanjedela.si
34,ELEKTRIKAR - M/Ž,27. 02. 2021,GORNJA RADGONA,"ARCONT, PROIZVODNJA BIVALNIH ENOT D.D.",https://www.iskanjedela.si/search-jobs?jobId=2656288&RECENCY=TODAY&STATE=Pomurska,ELEKTRO MONTAŽA ,19.02.2021,Pomurska,iskanjedela.si
35,CNC operater m/ž,26.2.2021,Trbovlje,KOVIT projekti d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/cnc-operater-mz-752768-752768/,"KOVIT projekti d.o.o. je podjetje z dolgoletno tradicijo in bogatimi izkušnjami, sa je na trgu prisotno že od leta 2003.Specializirani smo predvsem za izdelavo večjih zvarjencev in obdelovancev, strojnih delov, tlačnih posod ter druge industrijske...",27.1.2021,Zasavska,optius.com
36,Analitik (m/ž) v industrijskih premazih,/,Medvode,Helios TBLUS d.o.o.,https://www.mojedelo.com/analitik-mz-v-industrijskih-premazih/d-516862,"Pričakujemo: V. stopnje izobrazbe kemijske smeri – kemijski tehnik ali druge sorodne smeri, znanje angleščine, osnovno poznavanje računalniških orodij MS Office  in Windows, vestnost, natančnost, odgovornost in inovativnost, pripravljenost za sode...",18.02.2021,Gorenjska,mojedelo.com
37,Vodja servisa in montaže,/,Krško,Ekten d.o.o.,https://www.zaposlitev.info/delo/vodja-servisa-in-montaze-2/,        Ekten d.o.o. se ponaša z več kot 20 letno tradicijo na področju izdelave in razvoja ekološke procesne opreme za industrijo. Podjetje prerašča v pomembnega mednarodnega partnerja na področju razvoja novih ekoloških rešitev za industrijo.OPI,09.2.2021,Jugovzhodna Slovenija,zaposlitev.info
38,Avtoklepar m/ž,/,Trbovlje,Ekoen avto d.o.o.,https://www.zaposlitev.info/delo/avtoklepar-m-z-5/,"        Ekoen avto d.o.o. se ukvarja z vzdrževanjem in popravilo športnih ter klasičnih vozil.Podjetje je bilo ustanovljeno leta 2007, svoj popolni fokus smo restavratorstvu starodobnikov dali leta 2016, ljubiteljsko smo pa se s tem ukvarjali že od l",10.2.2021,Zasavska,zaposlitev.info
39,Direktor kopenskega transporta v Adriatik regiji,/,Brnik,Kuehne+Nagel d.o.o.,https://www.mojedelo.com/direktor-kopenskega-transporta-v-adriatik-regiji/d-516145,"Kot direktor kopenskega transporta v Adriatik regiji (Slovenija, Hrvaška ter Bosna in Hercegovina)  boste vodili v prihodnost usmerjeno ekipo ter skupaj z njimi ustvarjali strategijo na področju  kopenskega transporta.  ",17.2.2021,Gorenjska,mojedelo.com
40,VODJA FINANČNO-RAČUNOVODSKEGA SEKTORJA - M/Ž,29. 01. 2021,ZAGORJE OB SAVI,"JAVNO PODJETJE KOMUNALA ZAGORJE, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2646737&STATE=Zasavska,"IZVAJANJE DEL S POSEBNIMI POOBLASTILI IN ODGOVORNOSTMI; ORGANIZIRANJE , KOORDINIRANJE IN VODENJE POSLOVANJA SEKTORJA; SODELOVANJE PRI VODENJU IN IZVAJANJU FINANČNE POLITIKE DRUŽBE, SODELOVANJE PRI PLANIRANJU, IZDELAVA PRAVILNIKA O RAČUNOVODSTVU IN...",21.01.2021,Zasavska,iskanjedela.si
41,VIŠJI PRAVOSODNI SVETOVALEC (PDI) - STROKOVNI SODELAVEC - M/Ž,02. 02. 2021,LJUBLJANA,OKRAJNO SODIŠČE V LJUBLJANI,https://www.iskanjedela.si/search-jobs?jobId=2647737&STATE=Osrednjeslovenska,"PROUČEVANJE ZADEV, KI MU JIH DODELI SODNIK, PRIPRAVA STROKOVNE PODLAGE ZA SPREJEM ODLOČITVE, PRIPRAVA ODLOČITVE, PRIPRAVA OBRAZLOŽITVE ODLOČITVE, SPREMLJANJE IN PROUČEVANJE PRAKSE TUJIH SODIŠČ TER TUJE STROKOVNE LITERATURE, SPREJEMANJE VLOG IN IZJ...",25.01.2021,Osrednjeslovenska,iskanjedela.si
42,Brentist - operater tračne žage,/,Straža pri Novem mestu,"Solis Straža, d.o.o. ",https://www.mojedelo.com/brentist-operater-tracne-zage/d-502465,"Kot brentist-operater na tračni žagi razžagujete hlodovino in jo pripravite za nadaljnjo predelavo. Skrbite za kakovost tračnih listov, odpravljate motnje na liniji in linijo vzdržujete.",30.1.2021,Jugovzhodna Slovenija,mojedelo.com
43,Voznik tovornega vozila (m/ž),26.02.2021,Krško,"PERC TRANSPORT d.o.o. prevozi, špedicija, trgovina in posredništvo",https://www.deloglasnik.si/Zaposlitev/279066/Voznik-tovornega-vozila-mz/,  Prevoz blaga v mednarodnem cestnem prometu.,27.01.2021,Posavska,deloglasnik.si
44,Voznik tovornega vozila (m/ž),22.02.2021,Žalec,"ECOBETON PROIZVODNJA, TRGOVINA, STORITVE D.O.O.",https://www.deloglasnik.si/Zaposlitev/279793/Voznik-tovornega-vozila-mz/,  Prevoz materiala.  Število delovnih mest: 2,12.02.2021,Savinjska,deloglasnik.si
45,"PROFESOR RP ALI KATERA DRUGA SMER, VZGOJITELJ - M/Ž",24. 02. 2021,BREŽICE,OSNOVNA ŠOLA VELIKA DOLINA,https://www.iskanjedela.si/search-jobs?jobId=2656413&RECENCY=TODAY&STATE=Posavska,POUČEVANJE IN VAROVANJE OTROK V PODALJŠANEM BIVANJU ,19.02.2021,Posavska,iskanjedela.si
46,VALJARIST - ASFALTA - M/Ž,11. 02. 2021,LENART,"KOMUNALA SLOVENSKE GORICE KOMUNALNE, STORITVENE IN TRGOVSKE DEJAVNOSTI D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2642718&RECENCY=3DAYSAGO&STATE=Podravska,DELO VALJARISTA V ASFALTNI SKUPINI S IZKUŠNJAMI PRI VALJANJU ASFALTA ,05.02.2021,Podravska,iskanjedela.si
47,VIŠJI PRAVOSODNI SVETOVALEC (PDI) - STROKOVNI SODELAVEC - M/Ž,17. 02. 2021,KOPER,OKROŽNO SODIŠČE V KOPRU,https://www.iskanjedela.si/search-jobs?jobId=2652333&RECENCY=3DAYSAGO&STATE=Obalno-kra%C5%A1ka,"PROUČEVANJE NAJZAHTEVNEJŠIH ZADEV, KI MU JIH DODELI SODNIK, PRIPRAVA IZJEMNO ZAHTEVNE STROKOVNE PODLAGE ZA SPREJEM ODLOČITVE, PRIPRAVA IZJEMNO ZAHTEVNE ODLOČITVE IN OBRAZLOŽITVE ODLOČITVE, SPREMLJANJE IN PROUČEVANJE PRAKSE TUJIH SODIŠČ TER TUJE ST...",09.02.2021,Obalno-kraška,iskanjedela.si
48,VOZNIK LAHKEGA DOSTAVNEGA VOZILA - M/Ž,12. 02. 2021,SLOVENJ GRADEC,"HOP PREVOZI, Dejan Kerš s.p.",https://www.iskanjedela.si/search-jobs?jobId=2651941&RECENCY=3DAYSAGO&STATE=Koro%C5%A1ka,vožnja v mednarodnem prometu ,05.02.2021,Koroška,iskanjedela.si
49,ZDRAVNIK SPECIALIST PEDIATER PPD3 - M/Ž,31. 01. 2021,AJDOVŠČINA,ZDRAVSTVENI DOM AJDOVŠČINA,https://www.iskanjedela.si/search-jobs?jobId=2466807&STATE=Gori%C5%A1ka,OPRAVLJANJE DEL IN NALOG ZDRAVNIKA SPECIALISTA PEDIATRA V AMBULANTI ZA ŠOLSKE IN PREDŠOLSKE OTROKE. ,21.01.2021,Goriška,iskanjedela.si
50,UČITELJ MATEMATIKE - M/Ž,31. 01. 2021,ILIRSKA BISTRICA,OSNOVNA ŠOLA ANTONA ŽNIDERŠIČA ILIRSKA BISTRICA,https://www.iskanjedela.si/search-jobs?jobId=2648051&STATE=Primorsko-notranjska,POUČEVANJE MATEMATIKE NA PREDMETNI STOPNJI. ,26.01.2021,Primorsko-notranjska,iskanjedela.si
51,ČISTILEC - M/Ž,30. 01. 2021,RADOVLJICA,OSNOVNA ŠOLA STANETA ŽAGARJA LIPNICA,https://www.iskanjedela.si/search-jobs?jobId=2647788&STATE=Gorenjska,ČIŠČENJE ŠOLSKIH PROSTOROV IN OKOLICE ,25.01.2021,Gorenjska,iskanjedela.si
52,Web developer (m/ž),3.3.2021,Maribor,"Založba Forum Media, založniška dejavnost d.o.o.",https://www.optius.com/iskalci/prosta-delovna-mesta/web-developer-mz-754406-754406/,"Založba Forum Media, založniška dejavnost d.o.o., s sedežem v Mariboru išče novega člana ekipe. Založba Forum Media, založniška dejavnost d.o.o., s sedežem v Mariboru je bila ustanovljena januarja 2004 in je članica mednarodnega podjetja Forum Med...",10.2.2021,Podravska,optius.com
53,ROMSKA AKTIVATORKA V PROGRAMU SOCIALNE AKTIVACIJE - M/Ž,18. 02. 2021,ČRNOMELJ,ZAVOD ZA IZOBRAŽEVANJE IN KULTURO ČRNOMELJ,https://www.iskanjedela.si/search-jobs?jobId=2652576&RECENCY=3DAYSAGO&STATE=Jugovzhodna%20Slovenija,"DVIG MOTIVACIJE, OPOLNOMOČENJE, RAZVOJ IN KREPITEV SOCIALNIH, FUNKCIONALNIH IN DELOVNIH KOMPETENC OSEB IZ CILJNE SKUPINE. ",10.02.2021,Jugovzhodna Slovenija,iskanjedela.si
54,VZDRŽEVALEC IN SERVISER STROJNIH NAPRAV - ŠIFRA 5179 - M/Ž,21. 02. 2021,LJUBLJANA,"POŠTA SLOVENIJE d.o.o., poslovna enota Poštni logistični center",https://www.iskanjedela.si/search-jobs?jobId=2653369&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"VZDRŽEVANJE, NADZIRANJE, SERVISIRANJE, POSLUŽEVANJE IN ZAGOTAVLJANJE DELOVANJA STROJNE OPREME, STROJEV, NAPRAV TER RAČUNALNIŠKE OPREME. ORGANIZIRANJE IN OPRAVLJANJE DEL V EKSPEDITU. UREJANJE TEHNIČNE DOKUMENTACIJE IN EVIDENC MATERIALA. PRIPRAVLJAN...",11.02.2021,Osrednjeslovenska,iskanjedela.si
55,Prodajalec m/ž,/,Mozirje,Bartog d.o.o.,https://www.zaposlitev.info/delo/prodajalec-m-z/,"         	Prodaja blaga v trgovini z avto deli in pnevmatikami, 	svetovanje kupcem za prodajni asortima, 	skrb za zalogo - iskanje novih potencialnih kupcev, 	skrb za urejenost trgovine.",21.1.2021,Savinjska,zaposlitev.info
56,Samostojni prodajalec (m/ž),02.03.2021,Hrastnik,Mercator d.d.,https://www.deloglasnik.si/Zaposlitev/280003/Samostojni-prodajalec-mz/,  K sodelovanju vabimo nove sodelavce (m/ž) za delo na delovnem mestu:  Samostojni prodajalec (m/ž) v Centru tehnike in gradnje Hrastnik (gradbeni oddelek).  Vaše delo bo zajemalo:  - prodajo blaga - manipulacijo težkega blaga - svetovanje kupcem ...,17.02.2021,Zasavska,deloglasnik.si
57,Gradbeni inženir (m/ž),26.02.2021,Maribor,"GREALMONT, pridelava, proizvodnja, gradbeništvo, trgovina, posredništvo, najemi, gostinstvo, promet, svetovanje in storitve d.o.o.",https://www.deloglasnik.si/Zaposlitev/279031/Gradbeni-inzenir-mz/,  Vodja gradbišč.,27.01.2021,Podravska,deloglasnik.si
58,Serviser gospodinjskih aparatov na terenu m/ž,/,Dolenjska/Primorska,HSG KARIERA,https://www.mojedelo.com/serviser-gospodinjskih-aparatov-na-terenu-mz/d-516509,"Za našega naročnika, enega izmed vodilnih ponudnikov hišnih aparatov na evropskem trgu, ki je s svojimi proizvodi prisotno v več kot 160 državah sveta, iščemo novega sodelavca za delovno mesto Serviser gospodinjskih aparatov na terenu.",16.2.2021,Jugovzhodna Slovenija,mojedelo.com
59,STROKOVNI DELAVEC ZA PODROČJE (ENO ALI VEČ) V PROJEKTNI ENOTI ZA DELOVANJE SISTEMA SOCIALNE AKTIVACIJE V DIREKTORATU ZA SOCIALNE ZADEVE (DM 16039 - OP EKP SA) (ZAPOSLITEV DELNO FINANCIRA EU IZ SREDSTEV EVROPSKE KOHEZIJSKE POLITIKE 2014 – 2020) - M/Ž,13. 02. 2021,LJUBLJANA,"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI",https://www.iskanjedela.si/search-jobs?jobId=2651769&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,IZVAJANJE NALOG V OKVIRU PROJEKTA; IZVAJANJE STORITEV IN SODELOVANJE Z DRUGIMI IZVAJALCI STORITEV IN PROGRAMOV; SODELOVANJE Z INŠTITUCIJAMI PRI VODENJU POSAMEZNIH POSTOPKOV; VODENJE IN SODELOVANJE V INTERNIH IN MEDINSTITUCIONALNIH TIMIH IN STROKOV...,05.02.2021,Osrednjeslovenska,iskanjedela.si
